source,dataset,seed,train_frac,scale,model_type,tune_time,train_time,trainable_params,total_params,test_mse,test_r2,eval_time,data_length,training_efficiency,param_efficiency,tuning_efficiency,inference_efficiency
final,lorenz,42,0.2,small,pyreco_standard,3.1440138816833496,0.4641537666320801,300,1450,2.492709416514104,0.32804250451184624,1.3154540061950684,,0.7067524198709233,1.0934713701349206,0.10433872511958585,0.7601932375418019
final,lorenz,42,0.2,small,lstm,637.242448091507,16.774532079696655,952,952,2.190726623500929,0.40944774169244835,0.015394926071166992,,0.024408890533473653,0.4300917138663177,0.0006425305506188153,64.95224745673264
final,lorenz,42,0.2,medium,pyreco_standard,26.854058980941772,3.9823989868164062,900,10350,2.13515765167952,0.4244274207856428,9.717049837112427,,0.10657578901935884,0.47158549911127073,0.01580496286546084,0.10291188311794051
final,lorenz,42,0.2,medium,lstm,479.5615348815918,8.892038106918335,10052,10052,1.5297109882065894,0.587637147897703,0.030849933624267578,,0.06608575837689463,0.058459718408076476,0.0012253633870310985,32.41392990497352
final,lorenz,42,0.2,large,pyreco_standard,152.3169219493866,22.639771938323975,2100,52150,2.107469904469582,0.4318911825653521,54.212889194488525,,0.019076656985117495,0.205662369953801,0.002835477333722565,0.01844579760297789
final,lorenz,42,0.2,large,lstm,414.9206540584564,5.727770090103149,49077,49077,1.0630259108102558,0.7134410357120615,0.06756711006164551,,0.12455823120180129,0.014537176705480874,0.0017194637746138423,14.799881173051219
final,lorenz,42,0.3,small,pyreco_standard,5.342050075531006,0.8019161224365234,300,1450,0.010553383144202967,0.9976609313299635,1.1716930866241455,,1.2440948115669326,3.3255253526820363,0.18675615736803766,0.8534650907739699
final,lorenz,42,0.3,small,lstm,853.390487909317,9.510808229446411,952,952,0.011503694883111393,0.9974503027206469,0.016479015350341797,,0.10487544000277513,1.0477408140544464,0.0011688087876341893,60.679555130345186
final,lorenz,42,0.3,medium,pyreco_standard,43.12544369697571,6.558426141738892,900,10350,0.00612321554685757,0.9986428407412269,8.707947969436646,,0.15226864904630902,1.109601923488115,0.023156696649930652,0.11483760452775074
final,lorenz,42,0.3,medium,lstm,837.333086013794,6.325901985168457,10052,10052,0.006174618077183916,0.9986314478024314,0.02460789680480957,,0.15786385756212132,0.09934653287464172,0.0011926334493288454,40.635710244620135
final,lorenz,42,0.3,large,pyreco_standard,241.87720203399658,35.86165976524353,2100,52150,0.005220479331075773,0.9988429246357269,47.45226430892944,,0.027852667816315617,0.4756392614268883,0.00412954553842487,0.02107380951129898
final,lorenz,42,0.3,large,lstm,824.344563961029,9.716362953186035,49077,49077,0.008350601935168735,0.9981491592700082,0.0897817611694336,,0.10272867135063535,0.020338430200125886,0.0012108397406819754,11.137995612686153
final,lorenz,42,0.5,small,pyreco_standard,10.284016847610474,1.5638229846954346,300,1450,0.0004569561542407004,0.9997147993510864,0.8139758110046387,,0.6392757811204615,3.3323715565984333,0.09721052745774586,1.2285362266841053
final,lorenz,42,0.5,small,lstm,1329.164694070816,53.94586801528931,952,952,0.0002568919319388402,0.9998396656987554,0.008087635040283203,,0.018534128450417242,1.050250646479106,0.0007522315853006351,123.6302534382844
final,lorenz,42,0.5,medium,pyreco_standard,76.00530815124512,11.556042909622192,900,10350,0.00020492343457877816,0.9998721008657458,6.041943073272705,,0.08652373672907195,1.1109677665533102,0.013155292860872022,0.1655096419087401
final,lorenz,42,0.5,medium,lstm,930.0142598152161,10.644373893737793,10052,10052,0.0001804770292242864,0.9998873586330524,0.019611835479736328,,0.09393575185155284,0.09947147425005753,0.0010751312111672226,50.987018222489255
final,lorenz,42,0.5,large,pyreco_standard,421.7976140975952,63.575523853302,2100,52150,0.00010542255105038815,0.9999342024837817,33.24989318847656,,0.015728288595195875,0.47615891729755444,0.0023706492561661775,0.03007528367854388
final,lorenz,42,0.5,large,lstm,890.7925040721893,14.701104164123535,49077,49077,9.686343201855012e-05,0.9999395444980633,0.03993797302246094,,0.06801798458923403,0.020374911345908513,0.0011225280172479997,25.03820014194202
final,lorenz,42,0.6,small,pyreco_standard,12.575393199920654,1.9717588424682617,300,1450,0.0001850217892925828,0.9998698610043962,0.6325180530548096,,0.5070951540187332,3.332888427053231,0.07951002132487466,1.5809800434791759
final,lorenz,42,0.6,small,lstm,1743.931158065796,21.177353143692017,952,952,0.00011943656860884501,0.9999159917589353,0.006269931793212891,,0.047216285139981704,1.0503308208278515,0.0005733689581500333,159.4659347247745
final,lorenz,42,0.6,medium,pyreco_standard,94.13292908668518,14.3799409866333,900,10350,0.00010666094878809228,0.9999249777618167,4.840672969818115,,0.06953609261367569,1.1110265185947756,0.010622477987681943,0.20658280360029582
final,lorenz,42,0.6,medium,lstm,1595.3118116855621,11.883399248123169,10052,10052,6.308606348792191e-05,0.9999556270806249,0.015542984008789062,,0.08414726477285449,0.09947826577818934,0.0006268088903556043,64.33357107383591
final,lorenz,42,0.6,large,pyreco_standard,517.2536399364471,78.28917384147644,2100,52150,7.831092846349566e-05,0.9999449183492712,26.429126977920532,,0.012772454434141198,0.4761640200882148,0.0019331810145192007,0.0378370410418165
final,lorenz,42,0.6,large,lstm,1322.9464840888977,19.69452691078186,49077,49077,1.151318736632574e-05,0.999991901955733,0.03638124465942383,,0.05077511410711615,0.020375978188963362,0.0007558823529347346,27.485934673933794
final,lorenz,42,0.7,small,pyreco_standard,15.22241473197937,2.244556188583374,300,1450,0.00018770207979131083,0.9998628875189745,0.450916051864624,,0.4454610880955215,3.332865182179308,0.06568358827688923,2.217702781176312
final,lorenz,42,0.7,small,lstm,1593.3891949653625,29.174747943878174,952,952,7.086708566860276e-05,0.9999482330619358,0.005672931671142578,,0.03427444174362837,1.0503646877071935,0.0006275605706339136,176.24463211038753
final,lorenz,42,0.7,medium,pyreco_standard,110.69958400726318,16.885130882263184,900,10350,0.00010779957883451033,0.9999212546407373,3.583648920059204,,0.059219037293460196,1.1110223817981728,0.009032746189383916,0.2790451138663342
final,lorenz,42,0.7,medium,lstm,1145.7746810913086,26.26480507850647,10052,10052,2.3034324962317014e-05,0.9999831739027727,0.012732982635498047,,0.03807312229581236,0.09948100620988526,0.0008727572615564936,78.53002698561387
final,lorenz,42,0.7,large,pyreco_standard,608.9297683238983,92.35405111312866,2100,52150,7.029982218521515e-05,0.9999486474361595,19.303937196731567,,0.010827339186062752,0.47616579584303026,0.0016421411758968756,0.05180290103546406
final,lorenz,42,0.7,large,lstm,1231.143816947937,36.54321098327637,49077,49077,9.642030066692364e-06,0.9999929566967716,0.029023408889770508,,0.02736467054823775,0.020375999680517797,0.0008122470682292453,34.45375937879805
final,lorenz,42,0.8,small,pyreco_standard,17.603646993637085,2.7001540660858154,300,1450,0.00013443057880071447,0.9999033455583656,0.27630186080932617,,0.3703133046384037,3.3330000418610797,0.05680091682813613,3.6192169602257214
final,lorenz,42,0.8,small,lstm,1870.9647660255432,81.16262412071228,952,952,8.982412938923083e-06,0.999993541721572,0.005217075347900391,,0.012320862468830851,1.0504122807870706,0.0005344801566260171,191.64154086091767
final,lorenz,42,0.8,medium,pyreco_standard,127.54994606971741,19.336692810058594,900,10350,6.340790271255768e-05,0.9999544102577957,2.3066911697387695,,0.051712791239298506,1.1110592213317494,0.00783970854736013,0.4335212184438329
final,lorenz,42,0.8,medium,lstm,1333.066705942154,24.883110761642456,10052,10052,2.0482558641862083e-05,0.9999852732147222,0.01470804214477539,,0.04018730787345531,0.0994812150550644,0.0007501389600438913,67.98539226126272
final,lorenz,42,0.8,large,pyreco_standard,706.9352240562439,107.4656138420105,2100,52150,3.409639422765048e-05,0.9999754849828423,12.532933950424194,,0.00930507387365667,0.4761785756210793,0.0014145220800155828,0.07978977022984977
final,lorenz,42,0.8,large,lstm,1172.1477069854736,21.71184277534485,49077,49077,3.3468637951154914e-05,0.9999759363342605,0.020390987396240234,,0.04605670281534521,0.020375652871174026,0.0008531142700887772,49.03886906993551
