dataset,seed,train_frac,budget,budget_value,model_type,trainable_params,total_params,tune_time,train_time,val_mse,test_mse,test_mae,test_r2
lorenz,42,0.5,small,1000,pyreco_standard,300,1450,60.22918128967285,1.8301591873168945,0.0014941637495672028,0.0011246687283782686,0.021440448268538994,0.9992978376921133
lorenz,42,0.5,small,1000,lstm,952,952,20.948457956314087,20.788372039794922,0.18478277204638383,0.1554260810220833,0.30193060077194067,0.9029631277170712
lorenz,42,0.5,medium,10000,pyreco_standard,900,10350,447.6846568584442,12.7616548538208,0.0011079797400831743,0.0005654631672003974,0.015675851947004608,0.9996469654463684
lorenz,42,0.5,medium,10000,lstm,10052,10052,32.11234998703003,31.996209859848022,0.13679311520666174,0.12152728750678282,0.2780235140914273,0.9241270975943161
lorenz,42,0.5,large,30000,pyreco_standard,1500,27250,1185.660264968872,33.702131032943726,0.000856548490505436,0.0003910876706167939,0.013249485878527199,0.9997558329715611
lorenz,42,0.5,large,30000,lstm,29939,29939,22.985130071640015,22.78664803504944,0.3349915828305783,0.2786090573440292,0.4299670453783478,0.8260565322333612
lorenz,42,0.5,small,1000,pyreco_standard,300,1450,56.520748138427734,1.7863421440124512,0.0014941637495672028,0.0011246687283782686,0.021440448268538994,0.9992978376921133
lorenz,42,0.5,small,1000,lstm,952,952,30.228533029556274,30.20719599723816,0.1941110689402728,0.19256568439140975,0.33049980463412276,0.8797758291305753
lorenz,42,0.5,medium,10000,pyreco_standard,900,10350,424.34166717529297,12.216208696365356,0.0011079797400831743,0.0005654631672003974,0.015675851947004608,0.9996469654463684
lorenz,42,0.5,medium,10000,lstm,10052,10052,35.9394748210907,35.84667491912842,0.17973845748663328,0.15978958253940687,0.3215428191779884,0.9002388710372498
lorenz,42,0.5,large,30000,pyreco_standard,1500,27250,1106.53950881958,31.565747022628784,0.000856548490505436,0.0003910876706167939,0.013249485878527199,0.9997558329715611
lorenz,42,0.5,large,30000,lstm,29939,29939,32.665568113327026,32.506004095077515,0.15043053666925268,0.13312874105677283,0.30323910483221667,0.9168839839609821
lorenz,42,0.7,small,1000,pyreco_standard,300,1450,83.2322769165039,2.6089770793914795,0.000453356537269487,0.0009484217917796211,0.02039431068422966,0.9993074153511056
lorenz,42,0.7,small,1000,lstm,952,952,38.163865089416504,38.04875874519348,0.2874740271779139,0.3245273991945176,0.45440503536454147,0.763013991479464
lorenz,42,0.7,medium,10000,pyreco_standard,900,10350,642.1983909606934,19.02427315711975,0.0002609452698185056,0.0004139087154405882,0.013665641487239921,0.999697743319647
lorenz,42,0.7,medium,10000,lstm,10052,10052,45.0889310836792,44.886862993240356,0.06848900909203046,0.0797251855942626,0.23121696737582245,0.9417807138644138
lorenz,42,0.7,large,30000,pyreco_standard,1500,27250,1684.067804813385,49.921680212020874,0.00019931361288085648,0.0001710197430741553,0.00894519898002356,0.9998751128983564
lorenz,42,0.7,large,30000,lstm,29939,29939,27.54250407218933,27.28455901145935,0.13171368006164547,0.17069021441731383,0.3358461498451023,0.8753535365313555
lorenz,42,0.7,small,1000,pyreco_standard,300,1450,88.81041693687439,2.6281559467315674,0.000453356537269487,0.0009484217917796211,0.02039431068422966,0.9993074153511056
lorenz,42,0.7,small,1000,lstm,952,952,32.38797998428345,32.26640605926514,0.08620118965824991,0.08910935880915029,0.2414946060129208,0.9349279249813137
lorenz,42,0.7,medium,10000,pyreco_standard,900,10350,654.4934477806091,18.740295886993408,0.0002609452698185056,0.0004139087154405882,0.013665641487239921,0.999697743319647
lorenz,42,0.7,medium,10000,lstm,10052,10052,34.416314125061035,34.02318501472473,0.15899462720474153,0.20894501985498562,0.37246841886078985,0.8474179795648094
lorenz,42,0.7,large,30000,pyreco_standard,1500,27250,1664.3128802776337,47.02849006652832,0.00019931361288085648,0.0001710197430741553,0.00894519898002356,0.9998751128983564
lorenz,42,0.7,large,30000,lstm,29939,29939,28.607348918914795,28.401995182037354,0.15007997447486304,0.19829600342910117,0.3695603835176279,0.8551944197165615
lorenz,42,0.7,small,1000,pyreco_standard,300,1450,87.49444723129272,2.577721118927002,0.000453356537269487,0.0009484217917796211,0.02039431068422966,0.9993074153511056
lorenz,42,0.7,small,1000,lstm,952,952,31.19870376586914,31.089155197143555,0.14424723342358048,0.17766204354011034,0.3296240949601062,0.8702623609942526
lorenz,42,0.7,medium,10000,pyreco_standard,900,10350,653.4118502140045,18.18806004524231,0.0002609452698185056,0.0004139087154405882,0.013665641487239921,0.999697743319647
lorenz,42,0.7,medium,10000,lstm,10052,10052,55.087262868881226,54.88729381561279,0.08169404925636346,0.10470768432042106,0.2707808851526317,0.9235372537723647
lorenz,42,0.7,large,30000,pyreco_standard,1500,27250,1625.1969530582428,48.459348917007446,0.00019931361288085648,0.0001710197430741553,0.00894519898002356,0.9998751128983564
lorenz,42,0.7,large,30000,lstm,29939,29939,61.02053093910217,60.80033087730408,0.09362344998540159,0.12914931236458324,0.3059080271254175,0.9056887642879445
lorenz,42,0.7,small,1000,pyreco_standard,300,1450,80.40038394927979,2.357257127761841,0.000453356537269487,0.0009484217917796211,0.02039431068422966,0.9993074153511056
